A,density,avg_vertex_zeta,graph_zeta
4250400,0.5714285714285714,0.48429430426442377,2.732554008929986e-06
4554144,0.5,0.47520750988142296,3.1620553359683794e-06
4676130,0.39285714285714285,0.4384841720779221,5.797773654916512e-06
4969800,0.5,0.5481474292615597,1.232377008774524e-05
5100480,0.6428571428571429,0.6643868968570164,8.853474988933157e-05
5421600,0.5,0.5091638434029738,1.344411282299481e-05
5692680,0.5535714285714286,0.557423418972332,9.881422924901186e-05
5963760,0.4642857142857143,0.49155020703933744,1.478852410529429e-05
6325200,0.5892857142857143,0.5619373078612209,0.00010979358805445761
6546582,0.5178571428571429,0.5336789772727273,2.2727272727272728e-06
6955200,0.6607142857142857,0.6785283109984305,0.00012072920439454304
7273980,0.5357142857142857,0.5580650252525252,0.00012626262626262626
7650720,0.625,0.6296646746347941,0.00013280212483399734
8001378,0.42857142857142855,0.44529513888888894,2.777777777777778e-06
8433600,0.5178571428571429,0.47218562435953737,5.421905582936178e-06
8890420,0.30357142857142855,0.34685570987654324,7.056286586845951e-08
9236800,0.30357142857142855,0.30439313772647103,1.047315263353759e-08
9563400,0.6428571428571429,0.6827896746347941,0.00016600265604249667
10287486,0.4107142857142857,0.42783482142857143,5.102040816326531e-07
10910970,0.5357142857142857,0.569436553030303,9.46969696969697e-05
11385360,0.6071428571428571,0.573048418972332,0.0001976284584980237
11927520,0.5,0.5228002070393374,2.957704821058858e-05
12523896,0.44642857142857145,0.45105978260869567,8.695652173913044e-06
13093164,0.5178571428571429,0.5400852272727272,9.090909090909091e-06
14224672,0.23214285714285715,0.22182098765432096,4.51602341558141e-09
14547960,0.5357142857142857,0.5658775252525252,0.0002525252525252525
15461600,0.42857142857142855,0.413077026301664,1.2271802759732088e-07
16366455,0.3392857142857143,0.3263849431818182,1.1097301136363638e-06
17394300,0.6428571428571429,0.6521361714975846,0.00030193236714975844
18553920,0.48214285714285715,0.4100644122383253,1.1928192282459593e-05
19397280,0.5178571428571429,0.47091750841750846,1.2470382840753212e-05
20865600,0.7678571428571429,0.7618616443317638,0.0003621876131836291
22770720,0.6428571428571429,0.604298418972332,0.0003952569169960474
23380650,0.4642857142857143,0.48848417207792205,2.8988868274582557e-05
25300800,0.6607142857142857,0.6556873078612209,0.00043917435221783044
26186328,0.5178571428571429,0.5478977272727272,1.8181818181818182e-05
28449344,0.23214285714285715,0.22876543209876543,9.03204683116282e-09
29927232,0.5,0.5287012987012987,2.968460111317254e-06
32005512,0.42857142857142855,0.4595138888888889,2.2222222222222223e-05
33397056,0.4642857142857143,0.4771014492753623,2.318840579710145e-05
36006201,0.30357142857142855,0.278203125,9.765625e-08
38101800,0.375,0.378885582010582,3.499342123680747e-06
41149944,0.4107142857142857,0.44205357142857143,4.081632653061225e-06
43643880,0.5535714285714286,0.593655303030303,0.0007575757575757576
46384800,0.5892857142857143,0.48923107890499196,2.9820480706148975e-05
50802400,0.30357142857142855,0.31007495590828926,5.7602339484456736e-08
54554850,0.6071428571428571,0.619436553030303,0.0004734848484848485
58191840,0.625,0.6127525252525252,0.00101010101010101
62619480,0.6607142857142857,0.6710597826086957,0.0010869565217391304
69577200,0.6964285714285714,0.6755736714975846,0.0012077294685990338
74818080,0.5,0.5095779220779221,0.00018552875695732838
80013780,0.6428571428571429,0.6717013888888889,0.001388888888888889
85729050,0.4642857142857143,0.5187872023809523,0.0001062925170068027
93522600,0.5178571428571429,0.562702922077922,0.00023191094619666046
101604800,0.30357142857142855,0.3170194003527337,1.1520467896891347e-07
109733184,0.42857142857142855,0.4680952380952381,1.0884353741496598e-05
119275200,0.6428571428571429,0.6853002070393375,0.0002957704821058858
130931640,0.6607142857142857,0.6769886363636364,0.002272727272727273
145479600,0.6964285714285714,0.6815025252525253,0.002525252525252525
163664550,0.7142857142857143,0.7027698863636364,0.0014204545454545455
178912800,0.7142857142857143,0.7061335403726707,0.0004436557231588287
193972800,0.625,0.5917508417508417,0.0001247038284075321
218219400,0.6607142857142857,0.693655303030303,0.003787878787878788
250477920,0.75,0.7179347826086957,0.004347826086956522
274332960,0.5,0.5398809523809524,0.0006802721088435374
313097400,0.7678571428571429,0.7710597826086957,0.005434782608695652
349151040,0.6785714285714286,0.703030303030303,0.006060606060606061
400068900,0.75,0.7717013888888888,0.006944444444444444
480082680,0.6607142857142857,0.7072916666666667,0.008333333333333333
548665920,0.5357142857142857,0.6023809523809524,0.0013605442176870747
654658200,0.7678571428571429,0.7769886363636364,0.011363636363636364
800137800,0.75,0.7795138888888888,0.013888888888888888
914443200,0.625,0.6746031746031746,0.0022675736961451243
1200206700,0.7678571428571429,0.7994791666666666,0.020833333333333332
1440248040,0.7678571428571429,0.790625,0.025
2057497200,0.6785714285714286,0.6919642857142857,0.00510204081632653
2743329600,0.6428571428571429,0.7023809523809523,0.006802721088435373
4114994400,0.7142857142857143,0.7232142857142857,0.01020408163265306
8229988800,0.75,0.7857142857142857,0.02040816326530612
57609921600,1.0,1.0,1.0
